col0,col1,LocName,lon,lat,iConf,iLvl
セブンイレブン日本橋大伝馬町店,東京都中央区大伝馬町1-7,東京都/中央区,139.77092,35.67849,5,3
ジェイ・ショップ五日市店,東京都あきる野市舘谷287,東京都/あきる野市/舘谷,139.23335,35.72697,5,5
セブンイレブン稲城大丸東店,東京都稲城市大丸642-1,東京都/稲城市/大丸,139.48581,35.64898,5,5
サンクス昭島中神町新畑店,東京都昭島市中神町字中新畑1157-5,東京都/昭島市/中神町,139.37883,35.71267,5,5
セブンイレブン奥多摩古里店,東京都西多摩郡奥多摩町小丹波33,東京都/西多摩郡/奥多摩町/小丹波,139.13338,35.83604,5,5
デーリーヤマザキ奥多摩店,東京都西多摩郡奥多摩町氷川1415,東京都/西多摩郡/奥多摩町/氷川,139.09116,35.83822,5,5
タイムズマート氷川店,東京都西多摩郡奥多摩町氷川1421,東京都/西多摩郡/奥多摩町/氷川,139.09116,35.83822,5,5
セブンイレブン阿伎留医療センタ－前店,東京都西多摩郡日の出町大字平井605,東京都/西多摩郡/日の出町/平井,139.27,35.74575,5,5
セブンイレブン日の出西平井店,東京都西多摩郡日の出町大字平井字狩宿2535-1,東京都/西多摩郡/日の出町/平井,139.27,35.74575,5,5
ファミリーマート田無芝久保店,東京都西東京市芝久保4-2-13,東京都/西東京市/芝久保町,139.52556,35.72396,5,5
セブンイレブン青梅千ケ瀬6丁目店,東京都青梅市千ケ瀬6ー792ー3,東京都/青梅市/千ヶ瀬町,139.2784,35.78339,5,5
セブンイレブン足立大谷田店,東京都足立区大谷田町5-6-12,東京都/足立区/大谷田,139.84612,35.77901,5,5
ローソン東伊興町店,東京都足立区東伊興23-2,東京都/足立区/東伊興,139.78349,35.8036,5,5
セブンイレブン足立南花畑2丁目店,東京都足立区南花畑町2丁目49－10,東京都/足立区/南花畑,139.82497,35.78787,5,5
セブンイレブン町田山崎町西店,東京都町田市山崎町130－1,東京都/町田市/山崎町,139.43755,35.57619,5,5
サンクス町田小山町店,東京都町田市小山町636-2,東京都/町田市/小山町,139.37111,35.60023,5,5
ファミリーマート町田成瀬街道店,東京都町田市成瀬4965-1,東京都/町田市/成瀬,139.47507,35.54715,5,5
ファミリーマート町田鶴川街道店,東京都町田市能ヶ谷町1088-10,東京都/町田市/能ケ谷町,139.47923,35.58476,5,5
ローソン鶴川駅北口店,東京都町田市能ケ谷町2-14-1,東京都/町田市/能ケ谷町,139.47923,35.58476,5,5
セブンイレブン町田桜美林大学前店,東京都町田市木曽字23-2498-1,東京都/町田市/木曽西,139.4183,35.56493,4,5
ポプラ町田木曽町店,東京都町田市木曽町1058-1,東京都/町田市/木曽町,139.42012,35.56725,5,5
セブンイレブン町田市木曽町店,東京都町田市木曽町590-1,東京都/町田市/木曽町,139.42012,35.56725,5,5
ファミリーマート町田芝溝街道店,東京都町田市野津田町919,東京都/町田市/野津田町,139.44783,35.58599,5,5
サンクス八王子バイパス店,東京都八王子市宇津木町663番2,東京都/八王子市/宇津木町,139.35146,35.68231,5,5
セブンイレブン八王子小宮店,東京都八王子市小宮町851-4,東京都/八王子市/小宮町,139.37112,35.68843,5,5
セブンイレブン八王子高尾駅南口店,東京都八王子市東浅川914-5,東京都/八王子市/東浅川町,139.2926,35.6445,5,5
セブンイレブン八王子南新町店,東京都八王子市南新町12,東京都/八王子市/南新町,139.33008,35.65889,5,5
セブンイレブン八王子片倉南店,東京都八王子市片倉町2308－8,東京都/八王子市/片倉町,139.34215,35.63577,5,5
セブンイレブン板橋仲宿店,東京都板橋区中宿54-7,東京都/板橋区/中丸町,139.70358,35.74182,4,5
セブンイレブン二葉町店,東京都品川区二葉町1ー10ー8,東京都/品川区/二葉,139.72717,35.60708,5,5
サンクス府中東口店,東京都府中市宮1丁目17-5,東京都/府中市/宮西町,139.47685,35.67168,4,5
サークルＫ文京後楽ニ丁目店,東京都文京区後楽ニ丁目5番1号,東京都/文京区/後楽,139.75067,35.70538,5,5
セブンイレブン北区岩淵店,東京都北区岩淵39-36,東京都/北区/岩淵町,139.72403,35.78447,5,5
ファミリーマート貫井町店,東京都練馬区貫井町2-16-13,東京都/練馬区/貫井,139.63277,35.73808,5,5
サンクス石神井公園店,東京都練馬区石神井3丁目25-21,東京都/練馬区/石神井台,139.59576,35.73943,4,5
デイリーヤマザキ水元店,東京都葛飾区水元3―10,東京都/葛飾区/水元/三丁目,139.86317,35.7817,5,6
セブンイレブン江戸川篠崎町2丁目店,東京都江戸川区篠崎町2丁目38,東京都/江戸川区/篠崎町/二丁目,139.90784,35.70606,5,6
エーエムピーエムヴィーナスフォート|ファミリー店,東京都江東区青海1丁目,東京都/江東区/青海/一丁目,139.77557,35.62413,5,6
デイリーヤマザキ神宮前店,東京都渋谷区神宮前3―42―16,東京都/渋谷区/神宮前/三丁目,139.71042,35.6706,5,6
ファミリーマート小金井中大附属前店,東京都小金井市貫井北町3丁目-30,東京都/小金井市/貫井北町/三丁目,139.49709,35.70909,5,6
セブンイレブン新小平駅前店,東京都小平市小川町2-1212-1,東京都/小平市/小川町/二丁目,139.47281,35.72941,5,6
セブンイレブン小平大沼町2丁目店,東京都小平市大沼町2－605－1,東京都/小平市/大沼町/二丁目,139.49812,35.74007,5,6
エーエムピーエム牛込柳町駅前店,東京都新宿区原町1－13,東京都/新宿区/原町/一丁目,139.72581,35.7006,5,6
エーエムピーエム新宿京王モール店,東京都新宿区西新宿1丁目南口地下街1号,東京都/新宿区/西新宿/一丁目,139.69777,35.6911,5,6
デイリーヤマザキ清瀬台田団地店,東京都清瀬市下宿1-46-11,東京都/清瀬市/下宿/一丁目,139.53258,35.79368,5,6
セブンイレブン長渕店,東京都青梅市長渕4－229－1,東京都/青梅市/長淵/四丁目,139.27277,35.78033,5,6
ファミリーマート秋葉原駅中央口前店,東京都千代田区神田佐久間町1丁目13,東京都/千代田区/神田佐久間町/一丁目,139.77408,35.69732,5,6
セブンイレブン台東石浜店,東京都台東区清川2-301-1,東京都/台東区/清川/二丁目,139.80293,35.72761,5,6
サンクス中野3丁目店,東京都中野区中野3丁目-46-13,東京都/中野区/中野/三丁目,139.66408,35.70325,5,6
ファミリーマート版画美術館入口店,東京都町田市原町田3-102-1,東京都/町田市/原町田/三丁目,139.4545,35.54317,5,6
セブンイレブン東大和上北台駅北店,東京都東大和市芋窪5－1118－1,東京都/東大和市/芋窪/五丁目,139.41518,35.74858,5,6
セブンイレブン東大和高木1丁目店,東京都東大和市高木1－34－1,東京都/東大和市/高木/一丁目,139.43472,35.75418,5,6
セブンイレブン八王子台町4丁目店,東京都八王子市台町4丁目160－12,東京都/八王子市/台町/四丁目,139.31927,35.65783,5,6
ミニストップ荏原6丁目店,東京都品川区荏原６?５?１,東京都/品川区/荏原/六丁目,139.70461,35.61235,5,6
セブンイレブン北区東十条4丁目店,東京都北区東十条4の5の6,東京都/北区/東十条/四丁目,139.72816,35.76704,5,6
あおき,東京都あきる野市伊奈444-1,東京都/あきる野市/伊奈/４４４番地,139.25731,35.73511,5,7
セブンイレブンあきる野市役所前店,東京都あきる野市雨間228-1,東京都/あきる野市/雨間/２２８番地,139.29253,35.72802,5,7
ファミリーマートあきる野下代継店,東京都あきる野市下代継23-1,東京都/あきる野市/下代継/２３番地,139.28261,35.72365,5,7
サンクスあきる野インター店,東京都あきる野市牛沼131-1,東京都/あきる野市/牛沼/１３１番地,139.28836,35.72162,5,7
セブンイレブンあきる野牛沼店,東京都あきる野市牛沼159-1,東京都/あきる野市/牛沼/１５９番地,139.29034,35.72301,5,7
セブンイレブンあきる野戸倉店,東京都あきる野市戸倉183,東京都/あきる野市/戸倉/１８３番地,139.20401,35.73001,5,7
（有）十一屋商店,東京都あきる野市五日市176,東京都/あきる野市/五日市/１７６番地,139.22603,35.73082,5,7
ミニストップあきる野高尾店,東京都あきる野市高尾56-3,東京都/あきる野市/高尾/５６番地,139.2408,35.72838,5,7
セブンイレブンあきる野増戸店,東京都あきる野市山田553-1,東京都/あきる野市/山田/５５３番地,139.25555,35.72731,5,7
セブンイレブンあきる野山田店,東京都あきる野市山田758,東京都/あきる野市/山田/７５８番地,139.2643,35.72486,5,7
ファミリーマート秋川駅前店,東京都あきる野市秋川2-1-1,東京都/あきる野市/秋川/二丁目/１番,139.28638,35.72857,5,7
ファミリーマート秋川六丁目店,東京都あきる野市秋川6-1-1,東京都/あきる野市/秋川/六丁目/１番,139.29015,35.72894,5,7
ローソンあきる野雨間店,東京都あきる野市秋留2-1-1,東京都/あきる野市/秋留/二丁目/１番,139.29579,35.72312,5,7
セブンイレブンあきる野小川店,東京都あきる野市小川51-1,東京都/あきる野市/小川/５１番地,139.31532,35.72103,5,7
タイムズマート野崎商店,東京都あきる野市小中野371,東京都/あきる野市/小中野/３７１番地,139.21407,35.72773,5,7
ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡148-4,東京都/あきる野市/瀬戸岡/１４８番地,139.29099,35.73515,5,7
セブンイレブンあきる野瀬戸岡店,東京都あきる野市瀬戸岡769－1,東京都/あきる野市/瀬戸岡/７６９番地,139.28979,35.74032,5,7
（株）西松屋チェーン　あきる野店,東京都あきる野市瀬戸岡781-3,東京都/あきる野市/瀬戸岡/７８１番地,139.29077,35.74023,5,7
スリーエフ秋川二宮店,東京都あきる野市二宮1407-1,東京都/あきる野市/二宮/１４０７番地,139.31717,35.72578,5,7
スリーエフ秋川野辺店,東京都あきる野市野辺273-4,東京都/あきる野市/野辺/２７３番地,139.31149,35.72257,5,7
ファミリーマート稲城向陽台店,東京都稲城市向陽台6-8-1,東京都/稲城市/向陽台/六丁目/８番,139.49025,35.64125,5,7
