col0,col1,LocName,lon,lat,radius,start_angle,stop_angle,color,fill_color
セブンイレブン日本橋大伝馬町店,東京都中央区大伝馬町1-7,東京都/中央区,139.77092,35.67849,500,0,30,green,green
ジェイ・ショップ五日市店,東京都あきる野市舘谷287,東京都/あきる野市/舘谷,139.23335,35.72697,400,0,60,yellow,yellow
セブンイレブン稲城大丸東店,東京都稲城市大丸642-1,東京都/稲城市/大丸,139.48581,35.64898,300,45,90,red,red
サンクス昭島中神町新畑店,東京都昭島市中神町字中新畑1157-5,東京都/昭島市/中神町,139.37883,35.71267,200,45,120,green,green
セブンイレブン奥多摩古里店,東京都西多摩郡奥多摩町小丹波33,東京都/西多摩郡/奥多摩町/小丹波,139.13338,35.83604,100,90,160,yellow,yellow
デーリーヤマザキ奥多摩店,東京都西多摩郡奥多摩町氷川1415,東京都/西多摩郡/奥多摩町/氷川,139.09116,35.83822,500,90,180,red,red
タイムズマート氷川店,東京都西多摩郡奥多摩町氷川1421,東京都/西多摩郡/奥多摩町/氷川,139.09116,35.83822,400,135,200,green,green
セブンイレブン阿伎留医療センタ－前店,東京都西多摩郡日の出町大字平井605,東京都/西多摩郡/日の出町/平井,139.27,35.74575,300,135,360,yellow,yellow
セブンイレブン日の出西平井店,東京都西多摩郡日の出町大字平井字狩宿2535-1,東京都/西多摩郡/日の出町/平井,139.27,35.74575,200,180,30,red,red
ファミリーマート田無芝久保店,東京都西東京市芝久保4-2-13,東京都/西東京市/芝久保町,139.52556,35.72396,100,180,60,green,green
セブンイレブン青梅千ケ瀬6丁目店,東京都青梅市千ケ瀬6ー792ー3,東京都/青梅市/千ヶ瀬町,139.2784,35.78339,500,225,90,yellow,yellow
セブンイレブン足立大谷田店,東京都足立区大谷田町5-6-12,東京都/足立区/大谷田,139.84612,35.77901,400,225,120,red,red
ローソン東伊興町店,東京都足立区東伊興23-2,東京都/足立区/東伊興,139.78349,35.8036,300,315,160,green,green
セブンイレブン足立南花畑2丁目店,東京都足立区南花畑町2丁目49－10,東京都/足立区/南花畑,139.82497,35.78787,200,315,180,yellow,yellow
セブンイレブン町田山崎町西店,東京都町田市山崎町130－1,東京都/町田市/山崎町,139.43755,35.57619,100,0,200,red,red
サンクス町田小山町店,東京都町田市小山町636-2,東京都/町田市/小山町,139.37111,35.60023,500,0,360,green,green
ファミリーマート町田成瀬街道店,東京都町田市成瀬4965-1,東京都/町田市/成瀬,139.47507,35.54715,400,45,30,yellow,yellow
ファミリーマート町田鶴川街道店,東京都町田市能ヶ谷町1088-10,東京都/町田市/能ケ谷町,139.47923,35.58476,300,45,60,red,red
ローソン鶴川駅北口店,東京都町田市能ケ谷町2-14-1,東京都/町田市/能ケ谷町,139.47923,35.58476,200,90,90,green,green
セブンイレブン町田桜美林大学前店,東京都町田市木曽字23-2498-1,東京都/町田市/木曽西,139.4183,35.56493,100,90,120,yellow,yellow
ポプラ町田木曽町店,東京都町田市木曽町1058-1,東京都/町田市/木曽町,139.42012,35.56725,500,135,160,red,red
セブンイレブン町田市木曽町店,東京都町田市木曽町590-1,東京都/町田市/木曽町,139.42012,35.56725,400,135,180,green,green
ファミリーマート町田芝溝街道店,東京都町田市野津田町919,東京都/町田市/野津田町,139.44783,35.58599,400,180,200,yellow,yellow
